1;nelson@live.com;1
2;sinkou@verizon.net;1
3;sacraver@me.com;1
4;skajan@mac.com;1
5;pdbaby@verizon.net;1
6;curly@att.net;1
7;afifi@gmail.com;1
8;webinc@gmail.com;1
9;dartlife@optonline.net;1
10;ahmad@att.net;1
11;yfreund@optonline.net;1
12;nighthawk@verizon.net;1
13;chronos@me.com;1
14;hoyer@hotmail.com;1
15;satch@mac.com;1
16;barnett@me.com;1
17;msloan@hotmail.com;1
18;alhajj@live.com;1
19;mmccool@verizon.net;1
20;scarolan@icloud.com;1
21;satishr@yahoo.ca;1
22;wonderkid@me.com;1
23;mccurley@icloud.com;1
24;parkes@sbcglobal.net;1
25;jkegl@mac.com;1
26;jgoerzen@mac.com;1
27;vlefevre@att.net;1
28;ninenine@me.com;1
29;fluffy@mac.com;1
30;preneel@me.com;1
